中,英文,日文,原產地,養殖/種植,生境,食用部位,食物種類,,域,,界,,門,,亞門,,綱,,亞綱,,目,,科,,亞科,,屬,,種,,
雙歧桿菌,,,,,,,,8/27/18,細菌域,Bacteria,,,放線菌門,Actinobacteria,放線菌綱,Actinobacteria,,,,,雙歧桿菌目,Bifidobacteriales,雙歧桿菌科,Bifidobacteriaceae,,,雙歧桿菌屬,Bifidobacterium,,,雙歧桿菌：細菌域(Bacteria) > 放線菌門(Actinobacteria) > 放線菌綱(Actinobacteria) > 雙歧桿菌目(Bifidobacteriales) > 雙歧桿菌科(Bifidobacteriaceae) > 雙歧桿菌屬(Bifidobacterium)
嗜酸乳桿菌,,,,,,,,8/27/18,細菌域,Bacteria,,,厚壁菌門,Firmicutes,芽孢桿菌綱,Bacilli,,,,,乳桿菌目,Lactobacillales,乳桿菌科,Lactobacillaceae,,,乳桿菌屬,Lactobacillus,嗜酸乳桿菌,Lactobacillus acidophilus,嗜酸乳桿菌：細菌域(Bacteria) > 厚壁菌門(Firmicutes) > 芽孢桿菌綱(Bacilli) > 乳桿菌目(Lactobacillales) > 乳桿菌科(Lactobacillaceae) > 乳桿菌屬(Lactobacillus) > 嗜酸乳桿菌(Lactobacillus acidophilus)
乾酪乳桿菌,,,,,,,,8/27/18,細菌域,Bacteria,,,厚壁菌門,Firmicutes,芽孢桿菌綱,Bacilli,,,,,乳桿菌目,Lactobacillales,乳桿菌科,Lactobacillaceae,,,乳桿菌屬,Lactobacillus,乾酪乳桿菌,Lactobacillus casei,乾酪乳桿菌：細菌域(Bacteria) > 厚壁菌門(Firmicutes) > 芽孢桿菌綱(Bacilli) > 乳桿菌目(Lactobacillales) > 乳桿菌科(Lactobacillaceae) > 乳桿菌屬(Lactobacillus) > 乾酪乳桿菌(Lactobacillus casei)
保加利亞乳桿菌,,,,,,,,8/27/18,細菌域,Bacteria,,,厚壁菌門,Firmicutes,芽孢桿菌綱,Bacilli,,,,,乳桿菌目,Lactobacillales,乳桿菌科,Lactobacillaceae,,,乳桿菌屬,Lactobacillus,德氏乳桿菌,Lactobacillus delbrueckii,保加利亞乳桿菌：細菌域(Bacteria) > 厚壁菌門(Firmicutes) > 芽孢桿菌綱(Bacilli) > 乳桿菌目(Lactobacillales) > 乳桿菌科(Lactobacillaceae) > 乳桿菌屬(Lactobacillus) > 德氏乳桿菌(Lactobacillus delbrueckii)
嗜熱鏈球菌,,,,,,,,8/27/18,細菌域,Bacteria,,,厚壁菌門,Firmicutes,芽孢桿菌綱,Bacilli,,,,,乳桿菌目,Lactobacillales,鏈球菌科,Streptococcaceae,,,鏈球菌屬,Streptococcus,嗜熱鏈球菌,Streptococcus thermophilus,嗜熱鏈球菌：細菌域(Bacteria) > 厚壁菌門(Firmicutes) > 芽孢桿菌綱(Bacilli) > 乳桿菌目(Lactobacillales) > 鏈球菌科(Streptococcaceae) > 鏈球菌屬(Streptococcus) > 嗜熱鏈球菌(Streptococcus thermophilus)
木葡糖酸醋桿菌（椰果）,,,,,,,,11/5/18,細菌域,Bacteria,,,變形菌門,Proteobacteria,α-變形菌綱,Alphaproteobacteria,,,,,紅螺菌目,Rhodospirillales,醋桿菌科,Acetobacteraceae,,,駒形桿菌屬,Komagataeibacter,木駒形桿菌,Komagataeibacter xylinus,木葡糖酸醋桿菌（椰果）：細菌域(Bacteria) > 變形菌門(Proteobacteria) > α-變形菌綱(Alphaproteobacteria) > 紅螺菌目(Rhodospirillales) > 醋桿菌科(Acetobacteraceae) > 駒形桿菌屬(Komagataeibacter) > 木駒形桿菌(Komagataeibacter xylinus)
肺衣,,,,,,,,11/23/18,眞核域,Eukaryota,眞菌界,Fungi,子囊菌門,Ascomycota,盤菌亞門,Pezizomycotina,茶漬綱,Lecanoromycetes,茶漬亞綱,Lecanoromycetidae,地捲目,Peltigerales,肺衣科,Lobariaceae,,,肺衣屬,Lobaria,,,肺衣：眞核域(Eukaryota) > 眞菌界(Fungi) > 子囊菌門(Ascomycota) > 盤菌亞門(Pezizomycotina) > 茶漬綱(Lecanoromycetes) > 茶漬亞綱(Lecanoromycetidae) > 地捲目(Peltigerales) > 肺衣科(Lobariaceae) > 肺衣屬(Lobaria)
蟲草花,,,,,,,,9/1/18,眞核域,Eukaryota,眞菌界,Fungi,子囊菌門,Ascomycota,盤菌亞門,Pezizomycotina,糞殼菌綱,Sordariomycetes,,,肉座菌目,Hypocreales,,,,,,,,,蟲草花：眞核域(Eukaryota) > 眞菌界(Fungi) > 子囊菌門(Ascomycota) > 盤菌亞門(Pezizomycotina) > 糞殼菌綱(Sordariomycetes) > 肉座菌目(Hypocreales)
酵母,,,,,,,,8/28/18,眞核域,Eukaryota,眞菌界,Fungi,子囊菌門,Ascomycota,酵母亞門,Saccharomycotina,酵母綱,Saccharomycetes,,,酵母目,Saccharomycetales,,,,,,,,,酵母：眞核域(Eukaryota) > 眞菌界(Fungi) > 子囊菌門(Ascomycota) > 酵母亞門(Saccharomycotina) > 酵母綱(Saccharomycetes) > 酵母目(Saccharomycetales)
雙孢蘑菇,,,,,,,,9/27/18,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,傘菌亞綱,Agaricomycetidae,傘菌目,Agaricales,傘菌科,Agaricaceae,,,傘菌屬,Agaricus,雙孢蘑菇,Agaricus bisporus,雙孢蘑菇：眞核域(Eukaryota) > 眞菌界(Fungi) > 擔子菌門(Basidiomycota) > 傘菌亞門(Agaricomycotina) > 傘菌綱(Agaricomycetes) > 傘菌亞綱(Agaricomycetidae) > 傘菌目(Agaricales) > 傘菌科(Agaricaceae) > 傘菌屬(Agaricus) > 雙孢蘑菇(Agaricus bisporus)
